"base_repo_original","repo_stars","repo_forks","repo_createdAt","repo_updatedAt","repo_url","is_mozilla_repo"
"mozilla-services/socorro",564,235,"2011-08-24T19:21:49Z","2023-07-21T21:21:31Z","https://crash-stats.mozilla.org/","false"
"bill-mccloskey/searchfox",185,60,"2015-03-16T05:03:18Z","2023-07-12T09:55:37Z","https://searchfox.org/","false"
"gimli-rs/gimli",716,92,"2016-06-15T00:39:04Z","2023-08-05T04:14:53Z","https://docs.rs/gimli/","false"
"peterbe/premailer",1041,188,"2009-07-15T10:59:28Z","2023-07-24T17:52:52Z","https://premailer.io","false"
"pygments/pygments",1370,548,"2019-08-31T15:46:03Z","2023-08-07T11:13:21Z","http://pygments.org/","false"
"apache/karaf",627,653,"2010-08-12T03:32:41Z","2023-08-06T09:39:14Z",,"false"
"netty/netty",31596,15504,"2010-11-09T09:22:21Z","2023-08-07T09:25:00Z","http://netty.io","false"
"raphw/byte-buddy",5670,705,"2013-11-25T19:38:03Z","2023-08-07T12:18:44Z","https://bytebuddy.net","false"
"JodaOrg/joda-time",4924,965,"2011-05-16T16:49:57Z","2023-08-03T11:51:26Z","http://www.joda.org/joda-time/","false"
"bripkens/dock",221,35,"2014-07-28T21:43:01Z","2023-06-15T19:54:54Z","","false"
"mhevery/jasmine-node",1531,306,"2010-03-08T05:10:05Z","2023-07-25T13:41:47Z","","false"
"census-instrumentation/opencensus-java",673,204,"2016-07-28T22:10:03Z","2023-07-31T17:36:42Z","https://opencensus.io","false"
"codecentric/NSMenuFX",130,25,"2015-03-30T11:50:53Z","2023-08-04T07:39:30Z",,"false"
"mrdoob/three.js",93691,34873,"2010-03-23T18:58:01Z","2023-08-07T13:29:10Z","https://threejs.org/","false"
"raphw/weak-lock-free",108,17,"2016-03-28T16:02:53Z","2023-04-20T13:34:26Z",,"false"
"symfony/symfony",28572,9166,"2010-01-04T14:21:21Z","2023-08-07T09:47:52Z","https://symfony.com","false"
"FasterXML/jackson-core",2172,740,"2011-12-23T02:00:51Z","2023-08-03T18:00:48Z","","false"
"FasterXML/jackson-databind",3327,1315,"2011-12-23T07:17:41Z","2023-08-05T17:15:32Z","","false"
"JCTools/JCTools",3305,526,"2013-11-10T18:04:40Z","2023-08-07T13:31:04Z","http://jctools.github.io/JCTools","false"
"aws/aws-sdk-java",3985,2846,"2010-03-22T23:34:58Z","2023-08-05T08:30:13Z","https://aws.amazon.com/sdkforjava","false"
"codecentric/spring-boot-admin",11833,3044,"2014-07-25T11:39:13Z","2023-08-07T09:41:37Z","","false"
"jhalterman/expiringmap",927,142,"2010-10-23T00:33:04Z","2023-08-03T01:53:54Z","","false"
"lettuce-io/lettuce-core",5067,910,"2014-05-10T13:08:46Z","2023-08-07T00:51:37Z","https://lettuce.io","false"
"mp911de/lettuce",5067,910,"2014-05-10T13:08:46Z","2023-08-07T00:51:37Z","https://lettuce.io","false"
"rnorth/test-containers",7227,1480,"2015-04-12T12:44:59Z","2023-08-06T19:47:58Z","https://testcontainers.com","false"
"testcontainers/testcontainers-java",7227,1480,"2015-04-12T12:44:59Z","2023-08-06T19:47:58Z","https://testcontainers.com","false"
"scalatra/scalatra",2610,340,"2009-05-31T09:20:32Z","2023-08-04T06:33:53Z","http://scalatra.org","false"
"charliesome/rustboot",1499,236,"2013-05-26T14:57:53Z","2023-08-07T08:06:07Z",,"false"
"haileys/rustboot",1499,236,"2013-05-26T14:57:53Z","2023-08-07T08:06:07Z",,"false"
"ryanra/RustOS",403,16,"2014-07-21T07:41:54Z","2023-06-09T05:10:00Z","","false"
"fitzgen/wu.js",865,38,"2010-05-22T05:56:33Z","2023-07-06T08:16:13Z","http://fitzgen.github.com/wu.js/","false"
"Homebrew/homebrew-core",12669,11687,"2016-03-01T06:58:36Z","2023-08-07T12:23:34Z","https://brew.sh","false"
"Homebrew/legacy-homebrew",27108,11622,"2009-05-20T19:38:37Z","2023-08-06T22:51:26Z","https://brew.sh","false"
"Linuxbrew/legacy-linuxbrew",2241,313,"2013-04-04T09:18:42Z","2023-07-27T05:47:35Z","http://linuxbrew.sh","false"
"mistydemeo/tigerbrew",481,139,"2012-12-07T23:23:18Z","2023-07-20T21:27:38Z",,"false"
